FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Daryl,Janmaat,DEF,WAT,4800000,6,50,3.1,6.45833333333333E-07,1.04166666666667E-05,0,33130,2,26,0,0,0,3,0,10.4,1522,-2,0,50,2,0.8,0,4,3,0,2,0,1,0.6,51276,0,0,0,2,1295,5347,0,0,258,Arsenal,Liverpool,Bournemouth,Burnley,Huddersfield,2.7,2.7,2.9,3.5,2.5,4.4,2.5,3,2.3,71
Vincent,Janssen,FWD,TOT,7400000,0,1,1,1.35135135135135E-07,1.35135135135135E-07,0,8995,0,0,0,0,0,0,0,0.1,8,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,975,0,0,0,0,1,1,0,0,2,Bournemouth,Chelsea,Stoke,Man City,Brighton,0,0,0,0,0,0,0,0,0,0
Carl,Jenkinson,DEF,ARS,4500000,0,0,0,0,0,0,13536,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0.2,739,0,0,0,0,0,2,0,0,0,Watford,Stoke,Southampton,Newcastle,West Ham,0,0,0,0,0,0,0,0,0,0
,Jese,MID,STK,5400000,1,28,0.96551724137931,1.78799489144317E-07,5.18518518518519E-06,0,587771,0,14,0,0,0,1,0,5.2,256,-6,0,28,6,0.1,0,0.7,2,0,1,0,1,2,578217,0,0,0,1,536,73,0,0,85,Man City,Everton,Arsenal,Tottenham,West Ham,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,39.9
,Jesus,FWD,MCI,9900000,1,79,4,4.04040404040404E-07,7.97979797979798E-06,0,2258539,3,8,0,0,0,8,0,8,1145,-6,0,79,6,0.1,1,0.7,11,0,6,0,4,4.6,1837771,0,0,0,2,1015,2272,0,0,277,Stoke,Everton,Man Utd,Tottenham,Swansea,4.5,0,4,4.6,3.4,4.6,3.9,5.4,4.6,138.2
,Joao Mario,MID,WHU,6200000,0,12,0.413793103448276,6.67408231368187E-08,1.93548387096774E-06,0,9483,0,8,0,0,0,0,0,1.9,1437,-3,1,12,3,0.3,0,1.7,0,0,1,0,1,0.1,15894,0,0,0,0,338,116,-1,0,50,Burnley,Southampton,Chelsea,Stoke,Arsenal,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,17.9
,Joel Pereira,GLK,MUN,4000000,0,0,0,0,0,0,168173,0,0,0,0,0,0,0,0,1658,0,0,0,0,0,0,0,0,0,0,0,0,4.5,401540,0,0,0,0,0,150,0,0,0,Liverpool,Swansea,Man City,West Brom,Bournemouth,0,0,0,0,0,0,0,0,0,0
Ben,Johnson,MID,WHU,4500000,0,0,0,0,0,0,679,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,7,0,0,0,Burnley,Southampton,Chelsea,Stoke,Arsenal,0,0,0,0,0,0,0,0,0,0
Glen,Johnson,DEF,STK,4100000,0,2,0.0689655172413793,1.68208578637511E-08,4.8780487804878E-07,0,33892,0,6,0,0,0,0,0,0.5,136,-4,0,2,4,0.1,0,0.3,0,0,0,0,0,0.2,7882,0,0,0,0,155,212,0,0,26,Man City,Everton,Arsenal,Tottenham,West Ham,0,0,0,0,0,0,0,0,0,4.7
Phil,Jones,DEF,MUN,5500000,0,101,4.8,8.72727272727273E-07,1.83636363636364E-05,0,1772227,2,11,0,0,0,0,0,18.4,62295,5,1,101,-5,0.1,0,0.7,16,0,13,0,0,7.6,2031768,1,0,0,2,1793,353,-1,0,489,Liverpool,Swansea,Man City,West Brom,Bournemouth,0,0,6.3,4.2,6.8,4.2,7.2,4.9,7,47.5
,Jordan Ayew,FWD,SWA,5400000,7,93,3.2,5.92592592592593E-07,1.72222222222222E-05,0,630354,1,38,0,0,0,6,0,17.2,13491,4,0,93,-4,0.7,0,3.7,10,0,7,0,2,13.5,1258177,0,0,0,0,2300,42194,0,0,344,Huddersfield,Man Utd,West Brom,Everton,Man City,2.8,0,2.2,2.8,3.9,2.6,2.8,3.1,3.9,143.5
